lat,lng,city,state,date,specs
39.6477653,104.9877597,Englewood,CO,3/4/17,Seen a very brief bright light fast through the clouds. Lasted 3 to 5 seconds and was gone.
64.8377778,147.7163889,Fairbanks,AK,3/3/17,Large glowing sphere makes course change at high altitude .
33.4936391,117.1483648,Temecula,CA,3/3/17,Three star-like lights moving in the sky.
37.2295733,80.4139393,Blacksburg,VA,3/3/17,4 red lights not moving in the shy very weird.  ((anonymous report))
32.6926512,114.6276916,Yuma,AZ,3/3/17,"As I was walking to my door, I looked up at the western sky and saw approximately 7 oval bright orange/red objects in a hook formation."
40.1672068,105.1019275,Longmont,CO,3/3/17,Unusual very bright looking star with the distinctive shape of an upward pointing arrow.  ((NUFORC Note:  Venus.  PD))
39.7390721,75.5397878,Wilmington,DE,3/3/17,Heard helicopters and saw 3 military types chasing a round red object at high speed going N.  ((anonymous report))I lived here a ve
35.6224561,117.6708966,Ridgecrest,CA,3/3/17,Saw  amber/orange lighted object in western sky.  ((anonymous report))
35.6224561,117.6708966,Ridgecrest,CA,3/3/17,Saw  amber/orange lighted object in western sky.  ((anonymous report))
32.5437448,86.2119127,Wetumpka,AL,3/3/17,Object in daytime sky reflected light twice then disappeared.
61.2180556,149.9002778,Anchorage,AK,3/3/17,Object observed to the east of the City of Anchorage.
